index,index,time,tem
1204,1204,6673.561593,86.25
1205,1205,6678.439378,86.25
1206,1206,6683.170628,86.25
1207,1207,6687.960088,86.3125
1208,1208,6692.760238,86.3125
1209,1209,6697.56109,86.375
1210,1210,6702.299451,86.4375
1211,1211,6707.079567,86.5
1212,1212,6711.819559,86.5625
1213,1213,6716.700933,86.5625
1214,1214,6721.40088,86.625
1215,1215,6726.201231,86.625
1216,1216,6731.000764,86.6875
1217,1217,6735.801388,86.6875
1218,1218,6740.521217,86.75
1219,1219,6745.401159,86.8125
1220,1220,6750.441018,86.8125
1221,1221,6755.321253,86.875
1222,1222,6760.04351,86.875
1223,1223,6764.759983,86.9375
1224,1224,6769.480397,86.9375
1225,1225,6774.280408,86.9375
1226,1226,6779.161653,86.9375
1227,1227,6783.95931,87.0
1228,1228,6788.680079,87.0
1229,1229,6793.480065,87.0625
1230,1230,6798.280055,87.125
1231,1231,6803.080337,87.1875
1232,1232,6807.880368,87.25
1233,1233,6812.599967,87.25
1234,1234,6817.398794,87.3125
1235,1235,6822.119617,87.3125
1236,1236,6826.919764,87.3125
1237,1237,6831.723144,87.375
1238,1238,6836.45219,87.375
1239,1239,6841.161083,87.375
1240,1240,6845.881047,87.4375
1241,1241,6850.760178,87.5
1242,1242,6855.560956,87.5625
1243,1243,6860.282112,87.625
1244,1244,6865.004131,87.6875
1245,1245,6869.720402,87.6875
1246,1246,6874.518969,87.75
1247,1247,6879.240018,87.75
1248,1248,6884.039625,87.8125
1249,1249,6888.839621,87.8125
1250,1250,6893.639569,87.875
1251,1251,6898.444725,87.875
1252,1252,6903.239644,87.875
1253,1253,6908.137577,87.875
1254,1254,6912.920032,87.9375
1255,1255,6917.63938,88.0
1256,1256,6922.835503,88.0625
1257,1257,6927.678997,88.0625
1258,1258,6932.85944,88.125
1259,1259,6937.673105,88.125
1260,1260,6942.439556,88.1875
1261,1261,6947.159313,88.25
1262,1262,6951.880878,88.25
1263,1263,6956.681279,88.3125
1264,1264,6961.400486,88.3125
1265,1265,6966.220953,88.375
1266,1266,6970.920908,88.375
1267,1267,6975.721385,88.4375
1268,1268,6980.361577,88.4375
1269,1269,6985.163579,88.4375
1270,1270,6989.880099,88.5
1271,1271,6994.84157,88.5
